Speaker	Task	Label	TokNum	T	R	AAAmeta
BM	base	s	6f	0.6154	66.9764	Tongue s 5/24/2017 6:35:49 PM 6f
BM	base	s	6f	0.5757	67.3517	Tongue s 5/24/2017 6:35:49 PM 6f
BM	base	s	6f	0.536	68.1518	Tongue s 5/24/2017 6:35:49 PM 6f
BM	base	s	6f	0.4963	68.9791	Tongue s 5/24/2017 6:35:49 PM 6f
BM	base	s	6f	0.4566	68.337	Tongue s 5/24/2017 6:35:49 PM 6f
BM	base	s	6f	0.4169	67.4653	Tongue s 5/24/2017 6:35:49 PM 6f
BM	base	s	6f	0.3772	65.7515	Tongue s 5/24/2017 6:35:49 PM 6f
BM	base	s	6f	0.3375	64.5958	Tongue s 5/24/2017 6:35:49 PM 6f
BM	base	s	6f	0.2978	64.8205	Tongue s 5/24/2017 6:35:49 PM 6f
BM	base	s	6f	0.2581	64.3983	Tongue s 5/24/2017 6:35:49 PM 6f
BM	base	s	6f	0.2184	64.2377	Tongue s 5/24/2017 6:35:49 PM 6f
BM	base	s	6f	0.1787	64.0229	Tongue s 5/24/2017 6:35:49 PM 6f
BM	base	s	6f	0.139	64.0797	Tongue s 5/24/2017 6:35:49 PM 6f
BM	base	s	6f	0.0993	63.5438	Tongue s 5/24/2017 6:35:49 PM 6f
BM	base	s	6f	0.0596	62.9339	Tongue s 5/24/2017 6:35:49 PM 6f
BM	base	s	6f	0.0199	61.6078	Tongue s 5/24/2017 6:35:49 PM 6f
BM	base	s	6f	-0.0199	60.7336	Tongue s 5/24/2017 6:35:49 PM 6f
BM	base	s	6f	-0.0596	59.3853	Tongue s 5/24/2017 6:35:49 PM 6f
BM	base	s	6f	-0.0993	58.1135	Tongue s 5/24/2017 6:35:49 PM 6f
BM	base	s	6f	-0.139	57.0146	Tongue s 5/24/2017 6:35:49 PM 6f
BM	base	s	6f	-0.1787	55.6712	Tongue s 5/24/2017 6:35:49 PM 6f
BM	base	s	6f	-0.2184	55.0687	Tongue s 5/24/2017 6:35:49 PM 6f
BM	base	s	6f	-0.2581	53.503	Tongue s 5/24/2017 6:35:49 PM 6f
BM	base	s	6f	-0.2978	52.8388	Tongue s 5/24/2017 6:35:49 PM 6f
BM	base	s	6f	-0.3375	51.6707	Tongue s 5/24/2017 6:35:49 PM 6f
BM	base	s	6f	-0.3772	50.6113	Tongue s 5/24/2017 6:35:49 PM 6f
BM	base	s	6f	-0.4169	49.4877	Tongue s 5/24/2017 6:35:49 PM 6f
BM	base	s	6f	-0.4566	48.8111	Tongue s 5/24/2017 6:35:49 PM 6f
BM	base	s	13	0.6551	67.6727	Tongue s 5/24/2017 6:44:09 PM 13
BM	base	s	13	0.6154	67.6826	Tongue s 5/24/2017 6:44:09 PM 13
BM	base	s	13	0.5757	68.3024	Tongue s 5/24/2017 6:44:09 PM 13
BM	base	s	13	0.536	68.6235	Tongue s 5/24/2017 6:44:09 PM 13
BM	base	s	13	0.4963	68.1148	Tongue s 5/24/2017 6:44:09 PM 13
BM	base	s	13	0.4566	68.1864	Tongue s 5/24/2017 6:44:09 PM 13
BM	base	s	13	0.4169	67.7518	Tongue s 5/24/2017 6:44:09 PM 13
BM	base	s	13	0.3772	67.2727	Tongue s 5/24/2017 6:44:09 PM 13
